word,aoa,dale_chall,source
i,2.79,yes,kuperman
ice,3.86,yes,kuperman
if,5.36,yes,kuperman
illness,7.00,no,kuperman
in,3.69,yes,kuperman
inside,4.77,yes,kuperman
into,6.52,yes,kuperman
is,5.11,yes,kuperman-lemma
it,4.40,yes,kuperman
its,4.40,yes,estimated:inflection
jack,6.96,no,kuperman
jade,10.17,no,kuperman
jake,,no,estimated:name
jam,6.56,yes,kuperman
jane,,no,estimated:name
jar,5.44,yes,kuperman
jaw,5.33,yes,kuperman
jazz,8.50,no,kuperman
jen,,no,estimated:name
jet,5.39,no,kuperman
jig,8.70,yes,kuperman
jill,,no,estimated:name
job,5.39,yes,kuperman
jog,6.21,no,kuperman
jogs,6.21,no,kuperman-lemma
join,5.83,yes,kuperman
jolt,9.44,no,kuperman
josh,8.95,no,kuperman
joy,6.74,yes,kuperman
judge,8.85,yes,kuperman
jug,5.83,yes,kuperman
juice,4.40,yes,kuperman
jump,2.84,yes,kuperman
jumped,2.84,yes,kuperman-lemma
jumping,2.84,yes,kuperman-lemma
jumps,2.84,yes,kuperman-lemma
junk,6.62,yes,kuperman
just,7.01,yes,kuperman
kate,,no,estimated:name
keep,4.42,yes,kuperman
kid,4.28,yes,kuperman
kids,3.86,yes,kuperman
kim,,no,estimated:name
kind,4.89,yes,kuperman
kindly,4.89,yes,estimated:inflection
kindness,6.26,yes,kuperman
king,5.42,yes,kuperman
kiss,3.61,yes,kuperman
kit,6.55,no,kuperman
kite,4.58,yes,kuperman
kites,4.58,yes,kuperman-lemma
kits,6.55,no,kuperman-lemma
kitten,3.64,yes,kuperman
knee,4.42,yes,kuperman
knot,6.05,yes,kuperman
know,4.50,yes,kuperman
knows,4.50,yes,kuperman-lemma
kurt,,no,estimated:name
lad,7.35,yes,kuperman
lady,3.68,yes,kuperman
lake,4.61,yes,kuperman
lamb,4.15,yes,kuperman
lamp,4.00,yes,kuperman
land,5.22,yes,kuperman
landed,5.22,yes,kuperman-lemma
lands,5.22,yes,kuperman-lemma
lap,3.15,yes,kuperman
laps,3.15,yes,kuperman-lemma
last,4.35,yes,kuperman
late,5.28,yes,kuperman
launch,7.92,no,kuperman
law,8.33,yes,kuperman
leaf,4.60,yes,kuperman
least,3.95,yes,kuperman-lemma
led,6.76,yes,kuperman-lemma
left,5.57,yes,kuperman
leg,3.00,yes,kuperman
legs,3.00,yes,kuperman-lemma
lend,8.45,yes,kuperman
less,3.95,yes,kuperman-lemma
let,4.53,yes,kuperman
lets,4.53,yes,kuperman-lemma
lick,4.30,yes,kuperman
licked,4.30,yes,kuperman-lemma
licks,4.30,yes,kuperman-lemma
lid,5.95,yes,kuperman
lie,3.75,yes,kuperman
lift,4.74,yes,kuperman
lifted,4.74,yes,kuperman-lemma
lifts,4.74,yes,kuperman-lemma
light,4.05,yes,kuperman
lights,4.05,yes,kuperman-lemma
likable,7.00,no,kuperman
like,3.69,yes,kuperman
likes,3.69,yes,kuperman-lemma
lime,6.61,yes,kuperman
lin,,no,estimated:name
line,4.85,yes,kuperman
lip,3.79,yes,kuperman
list,5.58,yes,kuperman
lit,4.05,yes,kuperman-lemma
little,3.95,yes,kuperman
live,6.10,yes,kuperman
lived,6.10,yes,kuperman-lemma
liz,,no,estimated:name
load,7.78,yes,kuperman
lock,5.74,yes,kuperman
log,6.74,yes,kuperman
logs,6.74,yes,kuperman-lemma
long,4.24,yes,kuperman
look,4.05,yes,kuperman
looked,4.05,yes,kuperman-lemma
looks,4.77,yes,kuperman
lost,5.78,yes,kuperman-lemma
lot,6.26,yes,kuperman
lots,6.26,yes,estimated:inflection
loud,4.54,yes,kuperman
loudly,4.54,yes,estimated:inflection
low,4.70,yes,kuperman
luck,6.53,yes,kuperman
lucky,5.89,yes,kuperman
lump,5.89,yes,kuperman
lunch,3.61,yes,kuperman
mad,3.55,yes,kuperman
made,4.68,yes,kuperman-lemma
main,6.55,no,kuperman
make,4.68,yes,kuperman
mall,6.78,no,kuperman
man,3.11,yes,kuperman
many,4.60,yes,kuperman
map,5.60,yes,kuperman
mast,10.59,yes,kuperman
mat,4.62,yes,kuperman
match,5.72,yes,kuperman
math,5.56,no,kuperman
me,3.28,yes,kuperman
meadow,6.89,yes,kuperman
meal,4.74,yes,kuperman
mean,4.00,yes,kuperman
meat,4.42,yes,kuperman
meet,4.74,yes,kuperman
meg,,no,estimated:name
melt,5.47,yes,kuperman
men,3.11,yes,kuperman-lemma
mend,9.11,yes,kuperman
mess,4.28,yes,kuperman
met,4.74,yes,kuperman-lemma
mice,4.94,yes,kuperman-lemma
might,5.65,yes,kuperman-lemma
mike,6.78,no,kuperman
mild,8.05,no,kuperman
mile,7.65,yes,kuperman
milk,3.37,yes,kuperman
mill,8.17,yes,kuperman
mina,,no,estimated:name
mind,5.37,yes,kuperman
mine,4.24,yes,kuperman
miss,6.33,yes,kuperman
mission,9.95,no,kuperman
mist,6.95,no,kuperman
mistake,5.78,yes,kuperman
mitten,4.72,yes,kuperman
mix,5.11,yes,kuperman
mixed,5.11,yes,kuperman-lemma
mole,7.33,no,kuperman
mom,2.22,no,kuperman
moms,2.22,no,kuperman-lemma
moon,4.83,yes,kuperman
mop,5.11,yes,kuperman
mopped,5.11,yes,kuperman-lemma
more,3.78,yes,kuperman
most,4.58,yes,kuperman-lemma
moth,5.74,no,kuperman
motion,6.78,no,kuperman
mouse,4.94,yes,kuperman
mouth,3.58,yes,kuperman
move,4.62,yes,kuperman
much,4.58,yes,kuperman
mud,4.05,yes,kuperman
muff,10.35,no,kuperman
muffin,5.11,no,kuperman
mug,5.15,yes,kuperman
mule,5.65,yes,kuperman
munch,7.60,no,kuperman
music,3.81,yes,kuperman
must,4.58,yes,kuperman
my,2.72,yes,kuperman
name,3.68,yes,kuperman
named,3.68,yes,kuperman-lemma
nan,,no,estimated:name
nap,2.53,yes,kuperman
napkin,4.79,yes,kuperman
naps,2.53,yes,kuperman-lemma
near,5.41,yes,kuperman
neat,5.43,yes,kuperman
neck,3.00,yes,kuperman
ned,,no,estimated:name
need,3.56,yes,kuperman
nest,5.11,yes,kuperman
net,7.00,yes,kuperman
new,4.72,yes,kuperman
next,4.35,yes,kuperman
